class_name,class_course,class_day,class_begin_hour,class_end_hour,class_professor
CÁLCULO VECTORIAL,12,Lunes,07:30:00,09:00:00,CÓRDOVA ROSAS NELSON CLAUDIO
CÁLCULO VECTORIAL,12,Miércoles,07:30:00,09:00:00,CÓRDOVA ROSAS NELSON CLAUDIO
CÁLCULO VECTORIAL,12,Jueves,07:00:00,09:00:00,VILLAFUERTE ARREAGA EDISON OSWALDO
CÁLCULO VECTORIAL,1,Lunes,09:30:00,11:00:00,CELLERI MUJICA COLON MARIO
CÁLCULO VECTORIAL,1,Miércoles,09:30:00,11:00:00,CELLERI MUJICA COLON MARIO
CÁLCULO VECTORIAL,1,Jueves,09:00:00,11:00:00,VILLAFUERTE ARREAGA EDISON OSWALDO
ÁLGEBRA LINEAL,3,Lunes,11:00:00,13:00:00,LAVEGLIA FRANCA MARISOL
ÁLGEBRA LINEAL,3,Miércoles,11:00:00,12:00:00,LAVEGLIA FRANCA MARISOL
ÁLGEBRA LINEAL,3,Miércoles,12:00:00,13:00:00,TENESACA TIMANÁ RÓMULO FERNANDO
ÁLGEBRA LINEAL,6,Martes,09:00:00,11:00:00,VALDIVIEZO JANET PATRICIA
ÁLGEBRA LINEAL,6,Jueves,09:00:00,10:00:00,VALDIVIEZO JANET PATRICIA
ÁLGEBRA LINEAL,6,Jueves,10:00:00,11:00:00,RIOS SALINAS MIRNA DEL CARMEN
ÁLGEBRA LINEAL,7,Martes,11:00:00,13:00:00,VALDIVIEZO JANET PATRICIA
ÁLGEBRA LINEAL,7,Jueves,11:00:00,12:00:00,VALDIVIEZO JANET PATRICIA
ÁLGEBRA LINEAL,7,Jueves,12:00:00,13:00:00,RIOS SALINAS MIRNA DEL CARMEN
ÁLGEBRA LINEAL,8,Lunes,09:00:00,11:00:00,LAVEGLIA FRANCA MARISOL
ÁLGEBRA LINEAL,8,Miércoles,09:00:00,10:00:00,LAVEGLIA FRANCA MARISOL
ÁLGEBRA LINEAL,8,Miércoles,10:00:00,11:00:00,MANCERO MOSQUERA MARCELO ISAAC
PROGRAMACIÓN ORIENTADA A OBJETOS,3,Martes,09:00:00,10:00:00,CARRILLO BASTIDAS GLADYS ELIANA
PROGRAMACIÓN ORIENTADA A OBJETOS,3,Jueves,09:00:00,11:00:00,CARRILLO BASTIDAS GLADYS ELIANA
PROGRAMACIÓN ORIENTADA A OBJETOS,3,Martes,10:00:00,11:00:00,CARRILLO BASTIDAS GLADYS ELIANA
PROGRAMACIÓN ORIENTADA A OBJETOS,1,Lunes,11:00:00,12:00:00,CRUZ RAMIREZ EDUARDO SEGUNDO
PROGRAMACIÓN ORIENTADA A OBJETOS,1,Miércoles,11:00:00,13:00:00,CRUZ RAMIREZ EDUARDO SEGUNDO
PROGRAMACIÓN ORIENTADA A OBJETOS,1,Lunes,12:00:00,13:00:00,CRUZ RAMIREZ EDUARDO SEGUNDO
COMPUTACIÓN Y SOCIEDAD,2,Martes,11:00:00,12:30:00,CABELLO WILSON LISSETTE ANDREA
COMPUTACIÓN Y SOCIEDAD,2,Jueves,11:00:00,11:30:00,CABELLO WILSON LISSETTE ANDREA
COMPUTACIÓN Y SOCIEDAD,2,Jueves,11:30:00,12:30:00,CABELLO WILSON LISSETTE ANDREA
COMPUTACIÓN Y SOCIEDAD,1,Lunes,11:00:00,12:30:00,ASENCIO MERA JOSE LUIS
COMPUTACIÓN Y SOCIEDAD,1,Miércoles,11:00:00,11:30:00,ASENCIO MERA JOSE LUIS
COMPUTACIÓN Y SOCIEDAD,1,Miércoles,11:30:00,12:30:00,ASENCIO MERA JOSE LUIS
COMUNICACIÓN,8,Martes,09:00:00,11:00:00,CARRANZA GARCIA ANDREA VICTORIA
COMUNICACIÓN,8,Jueves,09:00:00,11:00:00,CARRANZA GARCIA ANDREA VICTORIA
COMUNICACIÓN,17,Lunes,11:00:00,13:00:00,RODRIGUEZ ARTEAGA DIANA LLAMEL
COMUNICACIÓN,17,Miércoles,11:00:00,13:00:00,RODRIGUEZ ARTEAGA DIANA LLAMEL
